"Nome";"tipo ML";"accuracy"
nucleusNew_size_2_overlap_0.5;J48;0.6458333333333334
nucleusNew_size_2_overlap_0.5;RandomForest;0.7397376543209877
nucleusNew_size_2_overlap_0.75;J48;0.6472993827160494
nucleusNew_size_2_overlap_0.75;RandomForest;0.7397376543209877
nucleusNew_size_2_overlap_0;J48;0.6395814096645122
nucleusNew_size_2_overlap_0;RandomForest;0.7357648507232994
nucleusNew_size_2_overlap_1;J48;0.6459876543209877
nucleusNew_size_2_overlap_1;RandomForest;0.7397376543209877
nucleusNew_size_10_overlap_0.5;J48;0.672189349112426
nucleusNew_size_10_overlap_0.5;RandomForest;0.7372781065088757
nucleusNew_size_10_overlap_0.75;J48;0.6646734854445319
nucleusNew_size_10_overlap_0.75;RandomForest;0.7387883556254917
nucleusNew_size_10_overlap_0;J48;0.6905132192846034
nucleusNew_size_10_overlap_0;RandomForest;0.7410575427682737
nucleusNew_size_10_overlap_1;J48;0.6864446899163642
nucleusNew_size_10_overlap_1;RandomForest;0.7404923465362159
nucleusNew_size_20_overlap_0.5;J48;0.7032
nucleusNew_size_20_overlap_0.5;RandomForest;0.7368
nucleusNew_size_20_overlap_0.75;J48;0.6984577922077922
nucleusNew_size_20_overlap_0.75;RandomForest;0.7410714285714286
nucleusNew_size_20_overlap_0;J48;0.713841368584759
nucleusNew_size_20_overlap_0;RandomForest;0.7418351477449455
nucleusNew_size_20_overlap_1;J48;0.7030932857026874
nucleusNew_size_20_overlap_1;RandomForest;0.7374360639766177
nucleusNew_size_30_overlap_0.5;J48;0.7299270072992701
nucleusNew_size_30_overlap_0.5;RandomForest;0.7165450121654501
nucleusNew_size_30_overlap_0.75;J48;0.721120186697783
nucleusNew_size_30_overlap_0.75;RandomForest;0.7456242707117853
nucleusNew_size_30_overlap_0;J48;0.745920745920746
nucleusNew_size_30_overlap_0;RandomForest;0.745920745920746
nucleusNew_size_30_overlap_1;J48;0.7265050167224081
nucleusNew_size_30_overlap_1;RandomForest;0.7395484949832776
