Nome;tipo ML;accuracy
nucleus_size_2_overlap_0.5;J48;0.853168044077135
nucleus_size_2_overlap_0.5;RandomForest;0.8492194674012856
nucleus_size_2_overlap_0.75;J48;0.8521885521885522
nucleus_size_2_overlap_0.75;RandomForest;0.8491888582797674
nucleus_size_2_overlap_0;J48;0.8457875457875458
nucleus_size_2_overlap_0;RandomForest;0.8458485958485958
nucleus_size_2_overlap_1;J48;0.8510866238138965
nucleus_size_2_overlap_1;RandomForest;0.8480563207835935
nucleus_size_10_overlap_0.5;J48;0.8715179968701096
nucleus_size_10_overlap_0.5;RandomForest;0.8593114241001565
nucleus_size_10_overlap_0.75;J48;0.869350811485643
nucleus_size_10_overlap_0.75;RandomForest;0.8609238451935081
nucleus_size_10_overlap_0;J48;0.8771604938271605
nucleus_size_10_overlap_0;RandomForest;0.8654320987654321
nucleus_size_10_overlap_1;J48;0.8724569640062598
nucleus_size_10_overlap_1;RandomForest;0.8558372456964006
nucleus_size_20_overlap_0.5;J48;0.8828571428571429
nucleus_size_20_overlap_0.5;RandomForest;0.866984126984127
nucleus_size_20_overlap_0.75;J48;0.8763285024154589
nucleus_size_20_overlap_0.75;RandomForest;0.8745571658615137
nucleus_size_20_overlap_0;J48;0.8932098765432098
nucleus_size_20_overlap_0;RandomForest;0.8759259259259259
nucleus_size_20_overlap_1;J48;0.885024154589372
nucleus_size_20_overlap_1;RandomForest;0.8726247987117552
nucleus_size_30_overlap_0.5;J48;0.9009661835748792
nucleus_size_30_overlap_0.5;RandomForest;0.8753623188405797
nucleus_size_30_overlap_0.75;J48;0.8891203703703704
nucleus_size_30_overlap_0.75;RandomForest;0.8800925925925925
nucleus_size_30_overlap_0;J48;0.9101851851851852
nucleus_size_30_overlap_0;RandomForest;0.8916666666666667
nucleus_size_30_overlap_1;J48;0.8948922056384743
nucleus_size_30_overlap_1;RandomForest;0.884212271973466
