Nome;tipo ML;accuracy
nucleus_size_2_overlap_0.5;J48;0.8523722069176615
nucleus_size_2_overlap_0.5;RandomForest;0.8847566574839302
nucleus_size_2_overlap_0.75;J48;0.8521273339455158
nucleus_size_2_overlap_0.75;RandomForest;0.8852157943067034
nucleus_size_2_overlap_0;J48;0.8467032967032967
nucleus_size_2_overlap_0;RandomForest;0.8817460317460317
nucleus_size_2_overlap_1;J48;0.8509029690847872
nucleus_size_2_overlap_1;RandomForest;0.8849403122130395
nucleus_size_10_overlap_0.5;J48;0.8649452269170579
nucleus_size_10_overlap_0.5;RandomForest;0.9042253521126761
nucleus_size_10_overlap_0.75;J48;0.8687265917602996
nucleus_size_10_overlap_0.75;RandomForest;0.9048064918851436
nucleus_size_10_overlap_0;J48;0.8734567901234568
nucleus_size_10_overlap_0;RandomForest;0.9055555555555556
nucleus_size_10_overlap_1;J48;0.8717683881064163
nucleus_size_10_overlap_1;RandomForest;0.9082003129890454
nucleus_size_20_overlap_0.5;J48;0.8806349206349207
nucleus_size_20_overlap_0.5;RandomForest;0.9123809523809524
nucleus_size_20_overlap_0.75;J48;0.8755233494363929
nucleus_size_20_overlap_0.75;RandomForest;0.9136876006441224
nucleus_size_20_overlap_0;J48;0.8888888888888888
nucleus_size_20_overlap_0;RandomForest;0.9135802469135802
nucleus_size_20_overlap_1;J48;0.8839935587761675
nucleus_size_20_overlap_1;RandomForest;0.9178099838969405
nucleus_size_30_overlap_0.5;J48;0.893719806763285
nucleus_size_30_overlap_0.5;RandomForest;0.923671497584541
nucleus_size_30_overlap_0.75;J48;0.8886574074074074
nucleus_size_30_overlap_0.75;RandomForest;0.9104166666666667
nucleus_size_30_overlap_0;J48;0.9018518518518519
nucleus_size_30_overlap_0;RandomForest;0.9342592592592592
nucleus_size_30_overlap_1;J48;0.8940961857379768
nucleus_size_30_overlap_1;RandomForest;0.9265671641791045
