Nome;tipo ML;accuracy
nucleus_size_2_overlap_0.5;J48;0.8519130700948883
nucleus_size_2_overlap_0.5;RandomForest;0.849709213345577
nucleus_size_2_overlap_0.75;J48;0.8528925619834711
nucleus_size_2_overlap_0.75;RandomForest;0.8491888582797674
nucleus_size_2_overlap_0;J48;0.8485347985347985
nucleus_size_2_overlap_0;RandomForest;0.8451770451770452
nucleus_size_2_overlap_1;J48;0.8528313437404347
nucleus_size_2_overlap_1;RandomForest;0.8489133761861034
nucleus_size_10_overlap_0.5;J48;0.8685446009389671
nucleus_size_10_overlap_0.5;RandomForest;0.8599374021909233
nucleus_size_10_overlap_0.75;J48;0.8686017478152309
nucleus_size_10_overlap_0.75;RandomForest;0.8612983770287141
nucleus_size_10_overlap_0;J48;0.8771604938271605
nucleus_size_10_overlap_0;RandomForest;0.866358024691358
nucleus_size_10_overlap_1;J48;0.8729577464788733
nucleus_size_10_overlap_1;RandomForest;0.8548982785602504
nucleus_size_20_overlap_0.5;J48;0.8819047619047619
nucleus_size_20_overlap_0.5;RandomForest;0.8641269841269841
nucleus_size_20_overlap_0.75;J48;0.8793880837359098
nucleus_size_20_overlap_0.75;RandomForest;0.8739130434782608
nucleus_size_20_overlap_0;J48;0.8938271604938272
nucleus_size_20_overlap_0;RandomForest;0.8753086419753087
nucleus_size_20_overlap_1;J48;0.8848953301127214
nucleus_size_20_overlap_1;RandomForest;0.8714009661835749
nucleus_size_30_overlap_0.5;J48;0.8980676328502415
nucleus_size_30_overlap_0.5;RandomForest;0.8743961352657005
nucleus_size_30_overlap_0.75;J48;0.888425925925926
nucleus_size_30_overlap_0.75;RandomForest;0.8798611111111111
nucleus_size_30_overlap_0;J48;0.9074074074074074
nucleus_size_30_overlap_0;RandomForest;0.887962962962963
nucleus_size_30_overlap_1;J48;0.8941625207296849
nucleus_size_30_overlap_1;RandomForest;0.8838474295190714
