"Nome";"tipo ML";"accuracy"
nucleusNew_size_2_overlap_0.5;J48;0.6461419753086419
nucleusNew_size_2_overlap_0.5;RandomForest;0.7398148148148148
nucleusNew_size_2_overlap_0.75;J48;0.6483024691358025
nucleusNew_size_2_overlap_0.75;RandomForest;0.7397376543209877
nucleusNew_size_2_overlap_0;J48;0.6395814096645122
nucleusNew_size_2_overlap_0;RandomForest;0.7357648507232994
nucleusNew_size_2_overlap_1;J48;0.6458333333333334
nucleusNew_size_2_overlap_1;RandomForest;0.7398148148148148
nucleusNew_size_10_overlap_0.5;J48;0.672189349112426
nucleusNew_size_10_overlap_0.5;RandomForest;0.7368836291913216
nucleusNew_size_10_overlap_0.75;J48;0.6646734854445319
nucleusNew_size_10_overlap_0.75;RandomForest;0.738630999213218
nucleusNew_size_10_overlap_0;J48;0.6889580093312597
nucleusNew_size_10_overlap_0;RandomForest;0.7410575427682737
nucleusNew_size_10_overlap_1;J48;0.688101625374783
nucleusNew_size_10_overlap_1;RandomForest;0.7401767397822313
nucleusNew_size_20_overlap_0.5;J48;0.7008
nucleusNew_size_20_overlap_0.5;RandomForest;0.7368
nucleusNew_size_20_overlap_0.75;J48;0.7094155844155844
nucleusNew_size_20_overlap_0.75;RandomForest;0.7418831168831169
nucleusNew_size_20_overlap_0;J48;0.7231726283048211
nucleusNew_size_20_overlap_0;RandomForest;0.7402799377916018
nucleusNew_size_20_overlap_1;J48;0.7007388162701956
nucleusNew_size_20_overlap_1;RandomForest;0.7373548753754973
nucleusNew_size_30_overlap_0.5;J48;0.7287104622871047
nucleusNew_size_30_overlap_0.5;RandomForest;0.7165450121654501
nucleusNew_size_30_overlap_0.75;J48;0.7281213535589265
nucleusNew_size_30_overlap_0.75;RandomForest;0.7444574095682613
nucleusNew_size_30_overlap_0;J48;0.7645687645687645
nucleusNew_size_30_overlap_0;RandomForest;0.745920745920746
nucleusNew_size_30_overlap_1;J48;0.7256688963210702
nucleusNew_size_30_overlap_1;RandomForest;0.7392976588628762
