"Nome";"tipo ML";"accuracy"
nucleus_size_2_overlap_0.5;J48;0.8515151515151516
nucleus_size_2_overlap_0.5;RandomForest;0.8835016835016835
nucleus_size_2_overlap_0.75;J48;0.8523109886746251
nucleus_size_2_overlap_0.75;RandomForest;0.8833792470156107
nucleus_size_2_overlap_0;J48;0.8465811965811966
nucleus_size_2_overlap_0;RandomForest;0.881013431013431
nucleus_size_2_overlap_1;J48;0.8522803795531069
nucleus_size_2_overlap_1;RandomForest;0.8842056932966024
nucleus_size_10_overlap_0.5;J48;0.8691705790297339
nucleus_size_10_overlap_0.5;RandomForest;0.9065727699530517
nucleus_size_10_overlap_0.75;J48;0.8696004993757803
nucleus_size_10_overlap_0.75;RandomForest;0.9054931335830212
nucleus_size_10_overlap_0;J48;0.8737654320987654
nucleus_size_10_overlap_0;RandomForest;0.9074074074074074
nucleus_size_10_overlap_1;J48;0.8730516431924883
nucleus_size_10_overlap_1;RandomForest;0.9113302034428795
nucleus_size_20_overlap_0.5;J48;0.8812698412698413
nucleus_size_20_overlap_0.5;RandomForest;0.9142857142857143
nucleus_size_20_overlap_0.75;J48;0.8780998389694041
nucleus_size_20_overlap_0.75;RandomForest;0.9164251207729469
nucleus_size_20_overlap_0;J48;0.8907407407407407
nucleus_size_20_overlap_0;RandomForest;0.9154320987654321
nucleus_size_20_overlap_1;J48;0.8842512077294686
nucleus_size_20_overlap_1;RandomForest;0.9205475040257649
nucleus_size_30_overlap_0.5;J48;0.893719806763285
nucleus_size_30_overlap_0.5;RandomForest;0.9251207729468599
nucleus_size_30_overlap_0.75;J48;0.8870370370370371
nucleus_size_30_overlap_0.75;RandomForest;0.9108796296296297
nucleus_size_30_overlap_0;J48;0.9009259259259259
nucleus_size_30_overlap_0;RandomForest;0.9296296296296296
nucleus_size_30_overlap_1;J48;0.8949253731343284
nucleus_size_30_overlap_1;RandomForest;0.9291873963515754
