Nome;tipo ML;accuracy
nucleus_size_2_overlap_0.5;J48;0.8513314967860423
nucleus_size_2_overlap_0.5;RandomForest;0.8510560146923783
nucleus_size_2_overlap_0.75;J48;0.8512396694214877
nucleus_size_2_overlap_0.75;RandomForest;0.8520967248239976
nucleus_size_2_overlap_0;J48;0.847985347985348
nucleus_size_2_overlap_0;RandomForest;0.8498168498168498
nucleus_size_2_overlap_1;J48;0.8518212427303337
nucleus_size_2_overlap_1;RandomForest;0.8517600244872973
nucleus_size_10_overlap_0.5;J48;0.8688575899843506
nucleus_size_10_overlap_0.5;RandomForest;0.8602503912363068
nucleus_size_10_overlap_0.75;J48;0.8705368289637953
nucleus_size_10_overlap_0.75;RandomForest;0.8624843945068664
nucleus_size_10_overlap_0;J48;0.875
nucleus_size_10_overlap_0;RandomForest;0.8657407407407407
nucleus_size_10_overlap_1;J48;0.8714241001564945
nucleus_size_10_overlap_1;RandomForest;0.8546478873239437
nucleus_size_20_overlap_0.5;J48;0.8793650793650793
nucleus_size_20_overlap_0.5;RandomForest;0.8673015873015874
nucleus_size_20_overlap_0.75;J48;0.8748792270531401
nucleus_size_20_overlap_0.75;RandomForest;0.8750402576489533
nucleus_size_20_overlap_0;J48;0.8950617283950617
nucleus_size_20_overlap_0;RandomForest;0.8746913580246913
nucleus_size_20_overlap_1;J48;0.8845410628019323
nucleus_size_20_overlap_1;RandomForest;0.8720450885668277
nucleus_size_30_overlap_0.5;J48;0.8913043478260869
nucleus_size_30_overlap_0.5;RandomForest;0.8768115942028986
nucleus_size_30_overlap_0.75;J48;0.8912037037037037
nucleus_size_30_overlap_0.75;RandomForest;0.8805555555555555
nucleus_size_30_overlap_0;J48;0.9009259259259259
nucleus_size_30_overlap_0;RandomForest;0.8925925925925926
nucleus_size_30_overlap_1;J48;0.8937976782752902
nucleus_size_30_overlap_1;RandomForest;0.8843449419568823
