"Nome";"tipo ML";"accuracy"
nucleusNew_size_2_overlap_0.5;J48;0.6483796296296296
nucleusNew_size_2_overlap_0.5;RandomForest;0.7396604938271605
nucleusNew_size_2_overlap_0.75;J48;0.6448302469135803
nucleusNew_size_2_overlap_0.75;RandomForest;0.7397376543209877
nucleusNew_size_2_overlap_0;J48;0.6421975992613111
nucleusNew_size_2_overlap_0;RandomForest;0.7357648507232994
nucleusNew_size_2_overlap_1;J48;0.6450617283950617
nucleusNew_size_2_overlap_1;RandomForest;0.7397376543209877
nucleusNew_size_10_overlap_0.5;J48;0.6733727810650888
nucleusNew_size_10_overlap_0.5;RandomForest;0.7368836291913216
nucleusNew_size_10_overlap_0.75;J48;0.6662470495672699
nucleusNew_size_10_overlap_0.75;RandomForest;0.7387883556254917
nucleusNew_size_10_overlap_0;J48;0.6936236391912908
nucleusNew_size_10_overlap_0;RandomForest;0.7410575427682737
nucleusNew_size_10_overlap_1;J48;0.6870759034243333
nucleusNew_size_10_overlap_1;RandomForest;0.7404134448477198
nucleusNew_size_20_overlap_0.5;J48;0.7024
nucleusNew_size_20_overlap_0.5;RandomForest;0.7368
nucleusNew_size_20_overlap_0.75;J48;0.705762987012987
nucleusNew_size_20_overlap_0.75;RandomForest;0.7410714285714286
nucleusNew_size_20_overlap_0;J48;0.702954898911353
nucleusNew_size_20_overlap_0;RandomForest;0.7402799377916018
nucleusNew_size_20_overlap_1;J48;0.7029309085004465
nucleusNew_size_20_overlap_1;RandomForest;0.737517252577738
nucleusNew_size_30_overlap_0.5;J48;0.7116788321167883
nucleusNew_size_30_overlap_0.5;RandomForest;0.7165450121654501
nucleusNew_size_30_overlap_0.75;J48;0.7275379229871646
nucleusNew_size_30_overlap_0.75;RandomForest;0.7450408401400234
nucleusNew_size_30_overlap_0;J48;0.7645687645687645
nucleusNew_size_30_overlap_0;RandomForest;0.745920745920746
nucleusNew_size_30_overlap_1;J48;0.7280936454849498
nucleusNew_size_30_overlap_1;RandomForest;0.7397993311036789
