"Nome";"tipo ML";"accuracy"
nucleus_size_2_overlap_0.5;J48;0.8550816352360461
nucleus_size_2_overlap_0.5;RandomForest;0.8815972661688394
nucleus_size_2_overlap_0.75;J48;0.8552082014934819
nucleus_size_2_overlap_0.75;RandomForest;0.8815339830401215
nucleus_size_2_overlap_0;J48;0.8412838263058527
nucleus_size_2_overlap_0;RandomForest;0.8785399622404028
nucleus_size_2_overlap_1;J48;0.8569168459688647
nucleus_size_2_overlap_1;RandomForest;0.8826730793570434
nucleus_size_10_overlap_0.5;J48;0.8903795811518325
nucleus_size_10_overlap_0.5;RandomForest;0.9162303664921466
nucleus_size_10_overlap_0.75;J48;0.8799368088467614
nucleus_size_10_overlap_0.75;RandomForest;0.9132438125329121
nucleus_size_10_overlap_0;J48;0.8893129770992366
nucleus_size_10_overlap_0;RandomForest;0.9179389312977099
nucleus_size_10_overlap_1;J48;0.879494140237039
nucleus_size_10_overlap_1;RandomForest;0.9173674104482553
nucleus_size_20_overlap_0.5;J48;0.9144781144781144
nucleus_size_20_overlap_0.5;RandomForest;0.938047138047138
nucleus_size_20_overlap_0.75;J48;0.8982992016660881
nucleus_size_20_overlap_0.75;RandomForest;0.9309267615411315
nucleus_size_20_overlap_0;J48;0.8956743002544529
nucleus_size_20_overlap_0;RandomForest;0.9389312977099237
nucleus_size_20_overlap_1;J48;0.890794096978215
nucleus_size_20_overlap_1;RandomForest;0.9283907238229093
nucleus_size_30_overlap_0.5;J48;0.9053069719042663
nucleus_size_30_overlap_0.5;RandomForest;0.9375650364203955
nucleus_size_30_overlap_0.75;J48;0.9062988027069234
nucleus_size_30_overlap_0.75;RandomForest;0.9323269130661114
nucleus_size_30_overlap_0;J48;0.8950381679389313
nucleus_size_30_overlap_0;RandomForest;0.9141221374045801
nucleus_size_30_overlap_1;J48;0.8967582540989744
nucleus_size_30_overlap_1;RandomForest;0.9346410122033391
