"Nome";"tipo ML";"accuracy"
nucleus_size_2_overlap_0.5;J48;0.8522497704315886
nucleus_size_2_overlap_0.5;RandomForest;0.8840526476890114
nucleus_size_2_overlap_0.75;J48;0.851576369758188
nucleus_size_2_overlap_0.75;RandomForest;0.8836547291092746
nucleus_size_2_overlap_0;J48;0.8485958485958486
nucleus_size_2_overlap_0;RandomForest;0.8813186813186813
nucleus_size_2_overlap_1;J48;0.852004897459443
nucleus_size_2_overlap_1;RandomForest;0.8839608203244567
nucleus_size_10_overlap_0.5;J48;0.8652582159624413
nucleus_size_10_overlap_0.5;RandomForest;0.9112676056338028
nucleus_size_10_overlap_0.75;J48;0.86916354556804
nucleus_size_10_overlap_0.75;RandomForest;0.9098626716604244
nucleus_size_10_overlap_0;J48;0.8787037037037037
nucleus_size_10_overlap_0;RandomForest;0.9092592592592592
nucleus_size_10_overlap_1;J48;0.8745226917057903
nucleus_size_10_overlap_1;RandomForest;0.9148043818466354
nucleus_size_20_overlap_0.5;J48;0.8787301587301587
nucleus_size_20_overlap_0.5;RandomForest;0.9155555555555556
nucleus_size_20_overlap_0.75;J48;0.8769726247987117
nucleus_size_20_overlap_0.75;RandomForest;0.9164251207729469
nucleus_size_20_overlap_0;J48;0.891358024691358
nucleus_size_20_overlap_0;RandomForest;0.9141975308641975
nucleus_size_20_overlap_1;J48;0.8854428341384863
nucleus_size_20_overlap_1;RandomForest;0.9262479871175523
nucleus_size_30_overlap_0.5;J48;0.8946859903381642
nucleus_size_30_overlap_0.5;RandomForest;0.9246376811594202
nucleus_size_30_overlap_0.75;J48;0.8868055555555555
nucleus_size_30_overlap_0.75;RandomForest;0.9159722222222222
nucleus_size_30_overlap_0;J48;0.9027777777777778
nucleus_size_30_overlap_0;RandomForest;0.9342592592592592
nucleus_size_30_overlap_1;J48;0.8955555555555555
nucleus_size_30_overlap_1;RandomForest;0.9333001658374793
