"Nome";"tipo ML";"accuracy"
nucleus_size_2_overlap_0.5;J48;0.850719314355678
nucleus_size_2_overlap_0.5;RandomForest;0.8519742883379247
nucleus_size_2_overlap_0.75;J48;0.8520967248239976
nucleus_size_2_overlap_0.75;RandomForest;0.8515151515151516
nucleus_size_2_overlap_0;J48;0.8465811965811966
nucleus_size_2_overlap_0;RandomForest;0.8487179487179487
nucleus_size_2_overlap_1;J48;0.8522497704315886
nucleus_size_2_overlap_1;RandomForest;0.8510560146923783
nucleus_size_10_overlap_0.5;J48;0.8671361502347418
nucleus_size_10_overlap_0.5;RandomForest;0.8582159624413146
nucleus_size_10_overlap_0.75;J48;0.8681023720349563
nucleus_size_10_overlap_0.75;RandomForest;0.8611735330836454
nucleus_size_10_overlap_0;J48;0.8768518518518519
nucleus_size_10_overlap_0;RandomForest;0.8672839506172839
nucleus_size_10_overlap_1;J48;0.873489827856025
nucleus_size_10_overlap_1;RandomForest;0.8553364632237872
nucleus_size_20_overlap_0.5;J48;0.8828571428571429
nucleus_size_20_overlap_0.5;RandomForest;0.8682539682539683
nucleus_size_20_overlap_0.75;J48;0.8774557165861514
nucleus_size_20_overlap_0.75;RandomForest;0.8731078904991948
nucleus_size_20_overlap_0;J48;0.8938271604938272
nucleus_size_20_overlap_0;RandomForest;0.8679012345679012
nucleus_size_20_overlap_1;J48;0.8846376811594203
nucleus_size_20_overlap_1;RandomForest;0.8723349436392914
nucleus_size_30_overlap_0.5;J48;0.8980676328502415
nucleus_size_30_overlap_0.5;RandomForest;0.8748792270531401
nucleus_size_30_overlap_0.75;J48;0.888425925925926
nucleus_size_30_overlap_0.75;RandomForest;0.8810185185185185
nucleus_size_30_overlap_0;J48;0.9037037037037037
nucleus_size_30_overlap_0;RandomForest;0.8962962962962963
nucleus_size_30_overlap_1;J48;0.8953233830845772
nucleus_size_30_overlap_1;RandomForest;0.8843781094527363
