"Nome";"tipo ML";"accuracy"
nucleus_size_2_overlap_0.5;J48;0.7954056448550816
nucleus_size_2_overlap_0.5;RandomForest;0.8375522085811923
nucleus_size_2_overlap_0.75;J48;0.795722060498671
nucleus_size_2_overlap_0.75;RandomForest;0.8378053410960637
nucleus_size_2_overlap_0;J48;0.7881686595342983
nucleus_size_2_overlap_0;RandomForest;0.8358716173694147
nucleus_size_2_overlap_1;J48;0.7954056448550816
nucleus_size_2_overlap_1;RandomForest;0.8380584736109353
nucleus_size_10_overlap_0.5;J48;0.868455497382199
nucleus_size_10_overlap_0.5;RandomForest;0.9060863874345549
nucleus_size_10_overlap_0.75;J48;0.8621642969984202
nucleus_size_10_overlap_0.75;RandomForest;0.8988941548183255
nucleus_size_10_overlap_0;J48;0.8765903307888041
nucleus_size_10_overlap_0;RandomForest;0.9071246819338422
nucleus_size_10_overlap_1;J48;0.8606899291531483
nucleus_size_10_overlap_1;RandomForest;0.900483347679269
nucleus_size_20_overlap_0.5;J48;0.9144781144781144
nucleus_size_20_overlap_0.5;RandomForest;0.9353535353535354
nucleus_size_20_overlap_0.75;J48;0.8962165914612982
nucleus_size_20_overlap_0.75;RandomForest;0.9288441513363416
nucleus_size_20_overlap_0;J48;0.8905852417302799
nucleus_size_20_overlap_0;RandomForest;0.9402035623409669
nucleus_size_20_overlap_1;J48;0.8880534082923401
nucleus_size_20_overlap_1;RandomForest;0.9222066057624736
nucleus_size_30_overlap_0.5;J48;0.9042663891779397
nucleus_size_30_overlap_0.5;RandomForest;0.9375650364203955
nucleus_size_30_overlap_0.75;J48;0.9104633003643935
nucleus_size_30_overlap_0.75;RandomForest;0.9318063508589276
nucleus_size_30_overlap_0;J48;0.8874045801526718
nucleus_size_30_overlap_0;RandomForest;0.9103053435114504
nucleus_size_30_overlap_1;J48;0.894287639439994
nucleus_size_30_overlap_1;RandomForest;0.929100845998353
