"Nome";"tipo ML";"accuracy"
nucleus_size_2_overlap_0.5;J48;0.7896468801417542
nucleus_size_2_overlap_0.5;RandomForest;0.8301480825211999
nucleus_size_2_overlap_0.75;J48;0.7895203138843184
nucleus_size_2_overlap_0.75;RandomForest;0.8310340463232502
nucleus_size_2_overlap_0;J48;0.7798615481434865
nucleus_size_2_overlap_0;RandomForest;0.8297042164883575
nucleus_size_2_overlap_1;J48;0.7899632957853436
nucleus_size_2_overlap_1;RandomForest;0.831160612580686
nucleus_size_10_overlap_0.5;J48;0.8655104712041884
nucleus_size_10_overlap_0.5;RandomForest;0.9067408376963351
nucleus_size_10_overlap_0.75;J48;0.8645339652448657
nucleus_size_10_overlap_0.75;RandomForest;0.8963928383359663
nucleus_size_10_overlap_0;J48;0.871501272264631
nucleus_size_10_overlap_0;RandomForest;0.9090330788804071
nucleus_size_10_overlap_1;J48;0.8555916043170231
nucleus_size_10_overlap_1;RandomForest;0.89988743958154
nucleus_size_20_overlap_0.5;J48;0.8895622895622896
nucleus_size_20_overlap_0.5;RandomForest;0.934006734006734
nucleus_size_20_overlap_0.75;J48;0.8948281846581049
nucleus_size_20_overlap_0.75;RandomForest;0.9264144394307532
nucleus_size_20_overlap_0;J48;0.8829516539440203
nucleus_size_20_overlap_0;RandomForest;0.9338422391857506
nucleus_size_20_overlap_1;J48;0.8879831342234715
nucleus_size_20_overlap_1;RandomForest;0.9234715390021082
nucleus_size_30_overlap_0.5;J48;0.886576482830385
nucleus_size_30_overlap_0.5;RandomForest;0.9375650364203955
nucleus_size_30_overlap_0.75;J48;0.9021343050494534
nucleus_size_30_overlap_0.75;RandomForest;0.9281624154086413
nucleus_size_30_overlap_0;J48;0.8893129770992366
nucleus_size_30_overlap_0;RandomForest;0.9122137404580153
nucleus_size_30_overlap_1;J48;0.8975069252077562
nucleus_size_30_overlap_1;RandomForest;0.9291757131092311
