"Nome";"tipo ML";"accuracy"
nucleus_size_2_overlap_0.5;J48;0.7970921334557698
nucleus_size_2_overlap_0.5;RandomForest;0.8465258647076829
nucleus_size_2_overlap_0.75;J48;0.796112641567187
nucleus_size_2_overlap_0.75;RandomForest;0.8463728191000919
nucleus_size_2_overlap_0;J48;0.7947496947496947
nucleus_size_2_overlap_0;RandomForest;0.8426739926739927
nucleus_size_2_overlap_1;J48;0.7973676155494337
nucleus_size_2_overlap_1;RandomForest;0.8467707376798286
nucleus_size_10_overlap_0.5;J48;0.8482003129890454
nucleus_size_10_overlap_0.5;RandomForest;0.8579029733959311
nucleus_size_10_overlap_0.75;J48;0.8473782771535581
nucleus_size_10_overlap_0.75;RandomForest;0.8607365792759051
nucleus_size_10_overlap_0;J48;0.8604938271604938
nucleus_size_10_overlap_0;RandomForest;0.8654320987654321
nucleus_size_10_overlap_1;J48;0.8487949921752739
nucleus_size_10_overlap_1;RandomForest;0.854585289514867
nucleus_size_20_overlap_0.5;J48;0.8720634920634921
nucleus_size_20_overlap_0.5;RandomForest;0.8663492063492063
nucleus_size_20_overlap_0.75;J48;0.871658615136876
nucleus_size_20_overlap_0.75;RandomForest;0.8739130434782608
nucleus_size_20_overlap_0;J48;0.8814814814814815
nucleus_size_20_overlap_0;RandomForest;0.8716049382716049
nucleus_size_20_overlap_1;J48;0.8682769726247987
nucleus_size_20_overlap_1;RandomForest;0.8712399355877617
nucleus_size_30_overlap_0.5;J48;0.8879227053140096
nucleus_size_30_overlap_0.5;RandomForest;0.8763285024154589
nucleus_size_30_overlap_0.75;J48;0.8840277777777777
nucleus_size_30_overlap_0.75;RandomForest;0.8784722222222222
nucleus_size_30_overlap_0;J48;0.9
nucleus_size_30_overlap_0;RandomForest;0.8898148148148148
nucleus_size_30_overlap_1;J48;0.8875621890547264
nucleus_size_30_overlap_1;RandomForest;0.8845107794361525
