"Nome";"tipo ML";"accuracy"
nucleusB_size_2_overlap_0.5;J48;0.720125786163522
nucleusB_size_2_overlap_0.5;RandomForest;0.7803354297693921
nucleusB_size_2_overlap_0.75;J48;0.7215094339622642
nucleusB_size_2_overlap_0.75;RandomForest;0.7811320754716982
nucleusB_size_2_overlap_0;J48;0.7259575179795953
nucleusB_size_2_overlap_0;RandomForest;0.7804816859006523
nucleusB_size_2_overlap_1;J48;0.719622641509434
nucleusB_size_2_overlap_1;RandomForest;0.780545073375262
nucleusB_size_10_overlap_0.5;J48;0.7961414790996785
nucleusB_size_10_overlap_0.5;RandomForest;0.8469453376205788
nucleusB_size_10_overlap_0.75;J48;0.7895681915348439
nucleusB_size_10_overlap_0.75;RandomForest;0.8394185549380077
nucleusB_size_10_overlap_0;J48;0.801352493660186
nucleusB_size_10_overlap_0;RandomForest;0.8524936601859678
nucleusB_size_10_overlap_1;J48;0.7883724918538844
nucleusB_size_10_overlap_1;RandomForest;0.84792488423941
nucleusB_size_20_overlap_0.5;J48;0.8382608695652174
nucleusB_size_20_overlap_0.5;RandomForest;0.8860869565217391
nucleusB_size_20_overlap_0.75;J48;0.8149536832818703
nucleusB_size_20_overlap_0.75;RandomForest;0.8749448610498456
nucleusB_size_20_overlap_0;J48;0.8292476754015216
nucleusB_size_20_overlap_0;RandomForest;0.8698224852071006
nucleusB_size_20_overlap_1;J48;0.8242819958530022
nucleusB_size_20_overlap_1;RandomForest;0.8732959809414568
nucleusB_size_30_overlap_0.5;J48;0.8571428571428571
nucleusB_size_30_overlap_0.5;RandomForest;0.8829365079365079
nucleusB_size_30_overlap_0.75;J48;0.8487634749524413
nucleusB_size_30_overlap_0.75;RandomForest;0.8852251109701966
nucleusB_size_30_overlap_0;J48;0.8732572877059569
nucleusB_size_30_overlap_0;RandomForest;0.9138149556400507
nucleusB_size_30_overlap_1;J48;0.8408905043162199
nucleusB_size_30_overlap_1;RandomForest;0.8933212176283507
